City,Global Warming: (1/1/04 - 9/27/21)
Manila,100
Makati,98
Cebu City,91
Pretoria,80
New Delhi,77
Johannesburg,74
Quezon City,71
Chandigarh,70
Howrah,66
Kolkata,65
Mumbai,61
Irvine,61
Bhopal,58
Ludhiana,56
Hyderabad,55
Cape Town,53
Auckland,53
Guwahati,52
Chennai,48
Abu Dhabi,48
Minneapolis,47
Miami,47
Sacramento,46
Seattle,44
Portland,43
Washington,43
Winnipeg,42
Bengaluru,42
Denver,42
San Diego,42
St. Louis,41
Columbus,41
Toronto,41
Philadelphia,40
Vancouver,39
Singapore,39
Karachi,38
San Jose,38
San Francisco,38
Phoenix,38
Pune,38
Boston,37
Birmingham,37
Ottawa,37
Los Angeles,36
New York,36
Dubai,35
Ahmedabad,34
Calgary,34
Nairobi,34
Austin,33
Lahore,33
Chicago,33
Lucknow,32
Atlanta,31
Perth,31
Charlotte,31
Brisbane,30
Manchester,30
Lagos,29
Melbourne,29
Sydney,29
San Antonio,27
Houston,27
Surabaya,27
Dallas,26
Dhaka,25
Raipura,24
London,23
Indore,23
Dublin,22
Kuala Lumpur,22
Jakarta,19
Medan,18
Montreal,16
Bangkok,12
Madrid,3
