Year,Country,Average Temp
1961,Algeria,0.30205882352941177
1962,Algeria,0.02970588235294117
1963,Algeria,0.1768235294117647
1964,Algeria,0.05652941176470588
1965,Algeria,-0.062352941176470576
1966,Algeria,0.3204117647058823
1967,Algeria,-0.07264705882352941
1968,Algeria,0.03799999999999999
1969,Algeria,0.18300000000000002
1970,Algeria,0.1398235294117647
1971,Algeria,-0.4086470588235294
1972,Algeria,-0.4249411764705883
1973,Algeria,-0.008117647058823537
1974,Algeria,-0.48411764705882354
1975,Algeria,-0.798470588235294
1976,Algeria,
1977,Algeria,0.5346470588235294
1978,Algeria,0.11752941176470585
1979,Algeria,0.5477058823529412
1980,Algeria,0.18323529411764708
1981,Algeria,0.4515882352941177
1982,Algeria,0.23994117647058816
1983,Algeria,0.7173529411764706
1984,Algeria,0.047999999999999994
1985,Algeria,0.604529411764706
1986,Algeria,0.3614705882352941
1987,Algeria,1.253235294117647
1988,Algeria,1.123764705882353
1989,Algeria,0.7059411764705882
1990,Algeria,1.130294117647059
1991,Algeria,0.06311764705882354
1992,Algeria,-0.17905882352941177
1993,Algeria,0.5814705882352941
1994,Algeria,0.7855882352941176
1995,Algeria,0.7897647058823528
1996,Algeria,0.8688235294117648
1997,Algeria,1.086764705882353
1998,Algeria,1.1018235294117649
1999,Algeria,1.5827647058823526
2000,Algeria,1.033
2001,Algeria,1.8978823529411761
2002,Algeria,1.4083529411764706
2003,Algeria,1.561470588235294
2004,Algeria,1.0911764705882354
2005,Algeria,1.3144117647058824
2006,Algeria,1.4874117647058824
2007,Algeria,1.2937647058823527
2008,Algeria,1.2500000000000002
2009,Algeria,1.2519411764705883
2010,Algeria,2.334
2011,Algeria,1.3542941176470589
2012,Algeria,1.2588235294117647
2013,Algeria,1.2244117647058825
2014,Algeria,1.7725294117647061
2015,Algeria,1.285235294117647
2016,Algeria,1.9107647058823531
2017,Algeria,1.5185882352941176
2018,Algeria,1.4043529411764708
2019,Algeria,1.2895294117647058
1961,Argentina,0.1285294117647059
1962,Argentina,-0.013999999999999983
1963,Argentina,0.08258823529411766
1964,Argentina,-0.4087647058823529
1965,Argentina,0.03217647058823528
1966,Argentina,-0.17258823529411763
1967,Argentina,0.11529411764705884
1968,Argentina,0.3710588235294118
1969,Argentina,0.35241176470588237
1970,Argentina,0.3771764705882353
1971,Argentina,-0.23388235294117646
1972,Argentina,-0.01705882352941176
1973,Argentina,-0.1981176470588235
1974,Argentina,-0.15776470588235297
1975,Argentina,-0.4261176470588235
1976,Argentina,
1977,Argentina,0.4503529411764706
1978,Argentina,0.34805882352941175
1979,Argentina,0.18305882352941172
1980,Argentina,0.37541176470588233
1981,Argentina,0.342
1982,Argentina,0.37970588235294117
1983,Argentina,0.06982352941176473
1984,Argentina,-0.3310588235294118
1985,Argentina,0.4055882352941177
1986,Argentina,0.4304117647058824
1987,Argentina,0.3332352941176471
1988,Argentina,-0.11647058823529415
1989,Argentina,0.5923529411764706
1990,Argentina,0.34594117647058825
1991,Argentina,0.18394117647058825
1992,Argentina,-0.2692941176470588
1993,Argentina,0.07776470588235294
1994,Argentina,0.5512941176470588
1995,Argentina,0.22835294117647056
1996,Argentina,0.3511176470588235
1997,Argentina,0.6912941176470587
1998,Argentina,0.31894117647058823
1999,Argentina,0.10523529411764705
